Graph #1

Relative importance of N

Inputs, Real RI value %, Absolute RI value %
Tmpr, 80.5681823727, 80.5681823727
RH, 1.70233267198, 1.70233267198
Rad, 2.78317644431, 2.78317644431
Site, -14.946308511, 14.946308511

===========================

Graph #2

Relative importance of P

Inputs, Real RI value %, Absolute RI value %
Tmpr, 59.9571216578, 59.9571216578
RH, 13.1594148438, 13.1594148438
Rad, -15.5986252097, 15.5986252097
Site, -11.2848382887, 11.2848382887

===========================

Graph #3

Relative importance of K

Inputs, Real RI value %, Absolute RI value %
Tmpr, 35.5275045202, 35.5275045202
RH, 3.08193278811, 3.08193278811
Rad, 17.5307805785, 17.5307805785
Site, -43.8597821131, 43.8597821131

===========================

Graph #4

Relative importance of Stbl

Inputs, Real RI value %, Absolute RI value %
Tmpr, -23.9487009436, 23.9487009436
RH, 32.1530811228, 32.1530811228
Rad, -42.5025525928, 42.5025525928
Site, -1.39566534076, 1.39566534076

===========================

